GEOID,population
060750101011,795
060750101012,1326
060750101021,1908
060750102011,1219
060750102012,1254
060750102021,905
060750102022,954
060750103001,1424
060750103002,1040
060750103003,1461
060750104011,812
060750104012,1625
060750104021,717
060750104022,822
060750104023,538
060750105001,1244
060750105002,940
060750105003,924
060750106001,1303
060750106002,920
060750106003,974
060750107011,1469
060750107012,1955
060750107021,638
060750107022,820
060750108001,1929
060750108002,920
060750108003,1764
060750109011,888
060750109012,1119
060750109021,1132
060750109022,1370
060750110011,1146
060750110012,1472
060750110021,675
060750110022,444
060750110023,788
060750111011,975
060750111012,606
060750111013,921
060750111021,1331
060750111022,887
060750112001,1023
060750112002,658
060750112003,334
060750112004,850
060750113001,1621
060750113002,1241
060750117001,563
060750117002,393
060750117003,132
060750117004,968
060750118001,1695
060750119011,1548
060750119012,344
060750119013,495
060750119021,836
060750119022,1122
060750119023,692
060750120011,1015
060750120012,897
060750120021,1228
060750120022,874
060750121001,1033
060750121002,1329
060750121003,1151
060750122021,1348
060750122022,1630
060750122031,1233
060750122032,530
060750122041,607
060750122042,828
060750122043,1285
060750123011,1076
060750123012,608
060750123013,217
060750123021,501
060750123022,642
060750123023,575
060750123024,896
060750124031,1482
060750124032,949
060750124041,1231
060750124042,836
060750124043,519
060750124051,1210
060750124052,2110
060750124053,601
060750124061,710
060750124062,823
060750125021,658
060750125022,983
060750125023,1287
060750125024,1701
060750125031,873
060750125032,786
060750125033,2709
060750125041,612
060750126011,991
060750126012,1173
060750126021,1402
060750126022,1366
060750127001,1431
060750127002,1845
060750127003,745
060750128011,955
060750128012,958
060750128013,678
060750128021,852
060750128022,1175
060750129011,1270
060750129012,1546
060750129021,1186
060750129022,1520
060750129023,616
060750130011,757
060750130012,835
060750130021,1895
060750130022,714
060750131011,1147
060750131012,981
060750131013,1164
060750131014,977
060750131021,1270
060750131022,1461
060750132001,812
060750132002,1145
060750132003,895
060750132004,1079
060750133001,499
060750133002,1059
060750133003,918
060750133004,940
060750133005,868
060750134011,601
060750134012,769
060750134021,2107
060750135001,1480
060750135002,470
060750135003,521
060750151001,926
060750151002,1163
060750151003,710
060750152011,1085
060750152012,527
060750152021,961
060750152022,1251
060750153001,867
060750153002,1426
060750154011,2318
060750154012,1020
060750154021,1573
060750154022,1275
060750155001,1353
060750155002,751
060750155003,783
060750155004,821
060750156001,395
060750156002,1495
060750156003,1098
060750157011,2587
060750157012,2339
060750157021,1840
060750157022,1433
060750158011,409
060750158012,1585
060750158013,1400
060750158021,1535
060750158022,1805
060750159001,1795
060750159002,1539
060750159003,685
060750159004,1226
060750160001,1069
060750160002,1391
060750161011,1493
060750161012,862
060750161021,722
060750161022,1896
060750162001,1282
060750162002,1231
060750162003,717
060750163001,581
060750163002,1188
060750163003,1123
060750163004,1050
060750164001,2050
060750164002,722
060750164003,1390
060750165001,1584
060750165002,1067
060750165003,2033
060750165004,633
060750166011,1709
060750166012,1493
060750166021,2098
060750167001,1778
060750167002,794
060750167003,1318
060750167004,1387
060750168011,1248
060750168012,1103
060750168013,1547
060750168021,1083
060750168022,1249
060750168023,1475
060750169001,1348
060750169002,829
060750169003,884
060750170001,876
060750170002,846
060750170003,1404
060750170004,1136
060750171011,1434
060750171012,1373
060750171013,1443
060750171021,1255
060750171022,817
060750171023,1574
060750176021,1655
060750176022,1058
060750176023,486
060750176031,1014
060750176032,715
060750176033,963
060750176034,2123
060750176041,1218
060750176042,1119
060750176043,809
060750177001,489
060750177002,1591
060750178011,1126
060750178012,1413
060750178013,1043
060750178031,1099
060750178032,1424
060750178041,1503
060750178042,1032
060750178043,422
060750178044,525
060750179031,3136
060750179032,0
060750180001,947
060750180002,1068
060750180003,881
060750180004,878
060750201011,1851
060750201012,2073
060750201021,1403
060750201022,1357
060750201023,550
060750202011,934
060750202012,986
060750202021,1271
060750202022,1297
060750202023,1545
060750203001,1519
060750203002,946
060750203003,1009
060750204011,1115
060750204012,877
060750204013,1256
060750204021,1207
060750204022,1094
060750204023,1033
060750204024,835
060750205001,859
060750205002,943
060750205003,1168
060750206011,1173
060750206012,1871
060750206021,1408
060750206022,1156
060750207011,1271
060750207012,1252
060750207013,616
060750207021,1423
060750207022,825
060750208011,1183
060750208012,1129
060750208013,1431
060750208021,874
060750208022,1649
060750209001,1165
060750209002,1210
060750209003,765
060750209004,958
060750210001,1208
060750210002,879
060750210003,1112
060750210004,621
060750211001,1382
060750211002,803
060750211003,796
060750211004,978
060750212001,814
060750212002,1184
060750212003,986
060750213001,962
060750213002,1701
060750214001,688
060750214002,1559
060750214003,1253
060750215001,1308
060750215002,1408
060750215003,569
060750215004,1027
060750215005,1247
060750216001,2244
060750216002,1555
060750216003,615
060750217001,1043
060750217002,1900
060750217003,1659
060750218001,1375
060750218002,1059
060750218003,717
060750218004,970
060750226001,2279
060750226002,1570
060750227021,1241
060750227022,911
060750227041,1525
060750227042,1195
060750227043,996
060750228011,2214
060750228012,1581
060750228013,1155
060750228021,839
060750228022,1530
060750228031,2289
060750228032,715
060750228033,1426
060750229011,1297
060750229012,1675
060750229013,1414
060750229021,952
060750229022,1144
060750229031,1296
060750229032,874
060750229033,680
060750230011,2606
060750230012,1106
060750230013,2007
060750230031,721
060750230032,1634
060750230033,1802
060750231021,2159
060750231022,1410
060750231031,1935
060750231032,2521
060750232001,1939
060750232002,1347
060750232003,936
060750233001,1354
060750233002,2596
060750234001,2522
060750234002,1517
060750251001,1919
060750251002,839
060750251003,650
060750252001,1528
060750252002,1574
060750252003,1023
060750252004,1332
060750253001,756
060750253002,816
060750253003,900
060750253004,2073
060750254011,1339
060750254012,1452
060750254013,1028
060750254021,1474
060750254022,703
060750254023,1117
060750254031,2134
060750254032,2110
060750255011,2085
060750255012,1406
060750255013,906
060750255021,914
060750255022,1568
060750255023,1364
060750256001,1537
060750256002,1194
060750256003,802
060750256004,1494
060750257011,1281
060750257012,2063
060750257013,1987
060750257021,961
060750257022,1973
060750257023,1219
060750258001,1220
060750258002,909
060750259001,1976
060750259002,2152
060750260011,1844
060750260012,2069
060750260013,1288
060750260014,1215
060750260021,1768
060750260022,1915
060750260031,2610
060750260032,2310
060750260041,2272
060750260042,1567
060750261001,1062
060750261002,2418
060750261003,1597
060750261004,1802
060750262011,1057
060750262012,1237
060750262013,1357
060750262021,2341
060750262022,1522
060750263011,1288
060750263012,2406
060750263013,1651
060750263021,1901
060750263022,984
060750263023,2119
060750263031,1777
060750263032,1502
060750263033,1333
060750264011,2080
060750264012,1762
060750264021,1551
060750264022,1373
060750264023,1831
060750264031,1492
060750264032,2089
060750264041,1437
060750264042,1070
060750301011,1632
060750301012,1667
060750301013,569
060750301014,924
060750301021,1329
060750301022,701
060750301023,1919
060750301024,777
060750302011,2077
060750302012,886
060750302013,1168
060750302021,1420
060750302022,1491
060750302023,1298
060750303011,984
060750303012,2185
060750303013,1642
060750303014,1318
060750303021,1158
060750303022,1379
060750303023,1205
060750304001,1149
060750304002,929
060750304003,1550
060750304004,879
060750304005,755
060750305001,701
060750305002,1393
060750305003,1693
060750306001,797
060750306002,681
060750306003,870
060750307001,3167
060750307002,1858
060750307003,1885
060750308001,834
060750308002,1142
060750308003,579
060750308004,1738
060750308005,1614
060750309001,739
060750309002,1858
060750309003,1518
060750309004,840
060750309005,519
060750309006,309
060750309007,844
060750310001,1089
060750310002,1562
060750310003,1489
060750311001,1348
060750311002,1276
060750311003,1003
060750311004,1156
060750311005,1503
060750312011,2868
060750312012,1336
060750312013,1006
060750312014,1131
060750312021,1242
060750312022,1562
060750313011,1342
060750313012,1342
060750313013,1184
060750313021,1376
060750313022,750
060750313023,2410
060750314011,1562
060750314012,971
060750314021,2046
060750314022,1609
060750314023,890
060750326011,1611
060750326012,1906
060750326013,1398
060750326021,2029
060750326022,1239
060750326023,1076
060750327001,839
060750327002,1084
060750327003,1203
060750327004,797
060750327005,580
060750327006,1010
060750327007,1208
060750328011,1732
060750328012,1042
060750328013,1057
060750328021,1697
060750328022,1667
060750328023,1090
060750329011,1001
060750329012,1539
060750329013,1352
060750329014,1172
060750329021,1518
060750329022,1388
060750329023,1001
060750330011,1676
060750330012,1311
060750330013,1088
060750330021,1155
060750330022,1093
060750330023,2040
060750331001,441
060750331002,948
060750331003,557
060750331004,2034
060750332011,3730
060750332031,2259
060750332032,1054
060750332041,508
060750332042,1732
060750332043,1380
060750351011,1053
060750351012,1767
060750351013,1198
060750351021,910
060750351022,1267
060750351023,941
060750351024,1340
060750352011,1133
060750352012,698
060750352013,908
060750352014,1885
060750352015,681
060750352021,1687
060750352022,1258
060750352023,1933
060750353001,1380
060750353002,1434
060750353003,1132
060750353004,626
060750353005,1781
060750353006,804
060750354001,996
060750354002,1692
060750354003,1375
060750354004,1443
060750354005,1925
060750401001,1126
060750401002,1123
060750401003,1334
060750401004,645
060750402001,1585
060750402002,1316
060750402003,1254
060750402004,1309
060750426011,1521
060750426012,2605
060750426021,933
060750426022,650
060750426023,1259
060750427001,1167
060750427002,1982
060750427003,2080
060750428001,1088
060750428002,628
060750428003,632
060750451001,2228
060750451002,1259
060750451003,1351
060750452011,1023
060750452012,687
060750452013,1394
060750452021,1706
060750452022,1652
060750476001,1338
060750476002,1252
060750476003,1490
060750476004,1041
060750477011,1415
060750477012,1733
060750477013,1700
060750477021,1159
060750477022,1387
060750477023,1108
060750478011,1234
060750478012,1557
060750478013,1822
060750478021,1166
060750478022,1211
060750478023,1287
060750479021,1610
060750479022,1147
060750479023,593
060750479031,827
060750479032,2152
060750479033,1002
060750479041,2132
060750479042,1013
060750601001,2425
060750601002,1527
060750604001,1187
060750604002,679
060750605021,1024
060750605022,683
060750605023,1654
060750607011,1060
060750607012,4940
060750607013,1879
060750607021,1945
060750607031,2357
060750607032,1152
060750607033,2747
060750610001,1952
060750610002,2011
060750610003,927
060750611011,744
060750611012,1117
060750611021,867
060750611022,1526
060750612001,943
060750612002,1205
060750612003,1858
060750614011,890
060750614012,712
060750614013,1387
060750614021,1661
060750614022,670
060750615011,664
060750615012,694
060750615013,298
060750615021,997
060750615022,904
060750615031,2048
060750615032,603
060750615033,554
060750615041,917
060750615042,650
060750615051,1061
060750615061,2293
060750615062,972
060750615063,1276
060750615071,1772
060750615072,0
060750615081,957
060750615082,766
060750615083,499
060759802001,186
060759803001,38
060759804011,0
060759805011,129
060759806001,1172
060759809001,315
060759901000,0
060759902000,0
