GEOID,centroid_lon,centroid_lat
06075032700,-122.49116951578665,37.7601681343761
06075047702,-122.48378920524854,37.774460328981945
06075022903,-122.4062269397186,37.75175518072731
06075012100,-122.41188832859115,37.788806397026086
06075020300,-122.42939524359115,37.764938703171694
06075021200,-122.43815911817931,37.753139825613175
06075026002,-122.42629767773049,37.72615617590014
06075030201,-122.47378430285745,37.762812408461926
06075012202,-122.41967868288802,37.785427727171914
06075017102,-122.45048218366571,37.76546457488533
06075032601,-122.48079971405065,37.76249002049569
06075980401,-123.00529439291688,37.69826212312453
06075017803,-122.41204098434885,37.773426125619324
06075016602,-122.45115057978717,37.76995760265253
06075020802,-122.41937779486706,37.76183311084322
06075031401,-122.45717127931863,37.71287617933975
06075061505,-122.39064383899303,37.7891026888316
06075020701,-122.42340131131651,37.757565905980684
06075010701,-122.4092554110282,37.797500059153286
06075020601,-122.43011683044385,37.76092040256178
06075020201,-122.4240936429445,37.76478704961315
06075030800,-122.46786012104553,37.73919610436137
06075035400,-122.50524804064541,37.742486367783805
06075045100,-122.46134857048827,37.77758325422396
06075022702,-122.39552092689037,37.76266228982629
06075026303,-122.44343515674007,37.709635561414785
06075011800,-122.40616312079246,37.7933502275774
06075013500,-122.43255530421403,37.79089758481036
06075015600,-122.45642427578758,37.778251326786304
06075016500,-122.4478025584496,37.77419086504952
06075020500,-122.43702527245483,37.75906015525718
06075021400,-122.42939207090923,37.74957148659711
06075022901,-122.41394368652688,37.75120039856619
06075025403,-122.42059655443367,37.73380919955287
06075026004,-122.43569763315398,37.71788753221495
06075030202,-122.46732029841407,37.76309486023031
06075011902,-122.40980638769906,37.79099591773659
06075012601,-122.43913685289137,37.80226482022371
06075016801,-122.4290250225593,37.77140401806206
06075025701,-122.41182643555017,37.731667209429446
06075032801,-122.480435593394,37.74601902553611
06075042601,-122.48119159999219,37.78312348379049
06075012301,-122.41074209803577,37.785922124073636
06075026202,-122.44833679483051,37.713426577457454
06075020101,-122.42013527814554,37.770268694046024
06075017602,-122.40703596847796,37.782103881555
06075015701,-122.45072131765355,37.77845066054988
06075020102,-122.41968814594678,37.76505211061051
06075060702,-122.4003677758554,37.76812343188773
06075061507,-122.39311474658271,37.79141158917395
06075045202,-122.46562400876259,37.77723391214646
06075012802,-122.43854052488403,37.79835523668857
06075013001,-122.42722704981108,37.79766258492255
06075013101,-122.42474792220617,37.793781591162876
06075031301,-122.4678671828121,37.71932963240434
06075030900,-122.46832373422464,37.72830897909248
06075040200,-122.46837451036039,37.78433935065156
06075026001,-122.43225170271535,37.72354218101477
06075021500,-122.42690476985925,37.74496593379934
06075047701,-122.48406505306981,37.7782574212071
06075047600,-122.47554301232212,37.77677529095645
06075012902,-122.43212098401828,37.80062861231796
06075032902,-122.49064434976746,37.752681302631856
06075023001,-122.40176506920714,37.73512617763024
06075017804,-122.4067236360314,37.77762959714506
06075020702,-122.42378170388801,37.76156767361772
06075012002,-122.41842435446152,37.7874955600972
06075020202,-122.42423904603193,37.768775942242584
06075035202,-122.50614644456937,37.761406495617344
06075013002,-122.43364456253768,37.79689494562661
06075015802,-122.43840069843965,37.778048580960814
06075031202,-122.45235858881486,37.71934471984758
06075061503,-122.39653517411834,37.78579243590751
06075012403,-122.41660937808994,37.78294581159114
06075012504,-122.41307212622534,37.78089246310219
06075016101,-122.4319545503224,37.77956148211056
06075015402,-122.45141040655722,37.785588707893965
06075033100,-122.48706399342743,37.732223998798574
06075013300,-122.45244290953814,37.78874298480323
06075023400,-122.39004310357872,37.72160774858004
06075042602,-122.47547751090863,37.783389715316964
06075042700,-122.48818503322256,37.78227093961661
06075060703,-122.39570172922723,37.77490920060043
06075012801,-122.44389473293566,37.79744219367054
06075026403,-122.40688647424204,37.711213777439475
06075015900,-122.4293359645405,37.78333503306746
06075023300,-122.3977701827725,37.72544091820598
06075035101,-122.49933144414135,37.761680606005505
06075020602,-122.43068317183052,37.75781220833453
06075011901,-122.41391426723234,37.79047291004755
06075045201,-122.46960209327685,37.77704507157905
06075033001,-122.48992219088721,37.73855404291512
06075031000,-122.45714065423772,37.72854064402642
06075980600,-122.36875839773538,37.72530436298511
06075016000,-122.42248583271264,37.782339457087524
06075026401,-122.41112333663303,37.71348407897366
06075031402,-122.45717259288216,37.716086279436276
06075011101,-122.41926938382109,37.79168494684165
06075042800,-122.48707040003303,37.78675850041741
06075016200,-122.42288381886684,37.77715401837095
06075060502,-122.42075681856748,37.711363670152096
06075010500,-122.39950958005663,37.79906006965777
06075012700,-122.44518781426848,37.803042569424306
06075013200,-122.4387105221855,37.79369154567449
06075016700,-122.4377385361519,37.77035129755467
06075021000,-122.4228400053942,37.751583429218016
06075021800,-122.4290776653767,37.737950906167804
06075022902,-122.41037531072314,37.751348869180035
06075025300,-122.42021151556814,37.74388207980526
06075026100,-122.4431434514597,37.71961833259163
06075033201,-122.47985584701227,37.72643336785633
06075030500,-122.45266108620628,37.75172050128853
06075030600,-122.45718935803205,37.74365939238249
06075030700,-122.45025108444894,37.73740125373365
06075035300,-122.4978628892981,37.742520736940975
06075016802,-122.42475266129235,37.773561990572425
06075022704,-122.40197377131567,37.76096524473412
06075025702,-122.4057535563467,37.72797040798946
06075032901,-122.4901866797135,37.74615450550101
06075061200,-122.39023581714655,37.736927520876044
06075012502,-122.41259768177683,37.78393495766333
06075011102,-122.41889863002396,37.789839024900324
06075013402,-122.44328973305979,37.789534991619206
06075010201,-122.42121408901322,37.80130149229949
06075012001,-122.41863049410861,37.788427516567864
06075012405,-122.41744863840267,37.77951587659166
06075061502,-122.39299115569548,37.781709807788616
06075035102,-122.49902338356235,37.75477742405395
06075060701,-122.39059643943891,37.77200260192774
06075010202,-122.42211671255946,37.805539249653876
06075061501,-122.40013481194235,37.78782493156601
06075012404,-122.41496852327504,37.78315609975304
06075012204,-122.41553406521781,37.785951488691566
06075010902,-122.42219565433294,37.79781910901628
06075011001,-122.41963084120735,37.793467600367535
06075010702,-122.41095673822599,37.79968212493201
06075031100,-122.44621498652683,37.72958385453075
06075035201,-122.5070379264073,37.7548741647307
06075040100,-122.46180424048119,37.78516747070279
06075047902,-122.5041104575192,37.77923037655584
06075060100,-122.4664992822127,37.79721083071793
06075060400,-122.49348075588871,37.719446357879775
06075023003,-122.39579083126486,37.73270175381311
06075026003,-122.42880573275228,37.71957803773376
06075026302,-122.43080878232391,37.71169624759029
06075026404,-122.41542827688578,37.70966396829628
06075010300,-122.41568436376333,37.801648774494744
06075011300,-122.40934877757351,37.79469867088722
06075011700,-122.40347618255831,37.790500508472505
06075015100,-122.42342862921392,37.78746226713238
06075015500,-122.43412462021976,37.785088759819374
06075016400,-122.43697587896622,37.77509931943454
06075017000,-122.43961045948976,37.76485722233356
06075018000,-122.40227154463956,37.77534292494099
06075020900,-122.41841262094572,37.751822475691704
06075021300,-122.43848037866992,37.74926025937828
06075021700,-122.43927420975675,37.740229132485325
06075022600,-122.38779283730071,37.759112758526726
06075022803,-122.41208426325788,37.755836736132736
06075025200,-122.41418252096749,37.74373431339534
06075025600,-122.42240813673232,37.72884924744327
06075025800,-122.40190311915993,37.72149098715907
06075026402,-122.40348885919218,37.716508760101945
06075032602,-122.48257841028231,37.75889673523078
06075033203,-122.47816677673919,37.71591096539506
06075047801,-122.49211271219733,37.77584055440147
06075980300,-122.48176837109553,37.76904772793063
06075980900,-122.38979855064896,37.74542647205136
06075980200,-122.50123530761363,37.78454678998334
06075012901,-122.42724666486045,37.80195997288754
06075013102,-122.4274298397601,37.79261962922332
06075020401,-122.44348703565127,37.75950313344241
06075031201,-122.45732812263941,37.7217750948783
06075017603,-122.41433222960863,37.77630768929025
06075012503,-122.41067909384098,37.78332073370716
06075061402,-122.39472191142936,37.75656101276719
06075017903,-122.36971378007267,37.81877353448644
06075020801,-122.41899615270052,37.757834028377474
06075061401,-122.3998934469799,37.75369110897441
06075033002,-122.48170485660916,37.738490756599596
06075061504,-122.3924039450649,37.785257615884824
06075016102,-122.42702227132011,37.780193214212986
06075010402,-122.40526148022764,37.80190125082217
06075047904,-122.50930411803337,37.77609478942752
06075012406,-122.41920991066378,37.783095737621835
06075017604,-122.41174823505119,37.779853623017125
06075010102,-122.41386588152963,37.80469356046049
06075033204,-122.48036969926802,37.71965808834939
06075026301,-122.43955127757528,37.71382802454137
06075030301,-122.4692513356592,37.756933424785245
06075025100,-122.40762022515642,37.74395043251657
06075020402,-122.44444743438153,37.752725888078594
06075031302,-122.46707467540719,37.713332558327885
06075012302,-122.41209721141546,37.78702216029632
06075061000,-122.39005874414033,37.71349124922911
06075010800,-122.41429125347956,37.796497784952095
06075015300,-122.43933455731492,37.78676161445084
06075025402,-122.41276555228622,37.7368853398584
06075025900,-122.41079305161146,37.72325880665073
06075030400,-122.46753492362446,37.74693887275064
06075012602,-122.4332972576501,37.80542232665264
06075032802,-122.48147776722718,37.7524053604163
06075980501,-122.41869690320365,37.718227022755485
06075010901,-122.41886142254575,37.79826785222452
06075015202,-122.43191113022978,37.78770477538511
06075011002,-122.41996628882421,37.7952617052023
06075015702,-122.44430934649922,37.7794851433926
06075025502,-122.43335046502783,37.73043430393535
06075015401,-122.45070608496493,37.78333031837957
06075061506,-122.39069947541067,37.78775970853618
06075047802,-122.49632332022819,37.7774321929546
06075022801,-122.41251238814792,37.76072568117692
06075030102,-122.45692946811246,37.758351431969835
06075030302,-122.47157216365868,37.751898258934034
06075023103,-122.37624712927516,37.735367840932724
06075016300,-122.42955362504162,37.77604491754237
06075026201,-122.45811258488415,37.70970350648884
06075061101,-122.40341232269584,37.79557835970501
06075010401,-122.41068578556117,37.802779277304836
06075022802,-122.40624276480241,37.75888830033554
06075023200,-122.38597428229176,37.72748313350856
06075016900,-122.43243279653858,37.767106113396665
06075021600,-122.43812152612556,37.74548293542561
06075030101,-122.45974601619756,37.764248685341066
06075016601,-122.44493384571454,37.77087788704086
06075025501,-122.4411224488955,37.725681518621194
06075061508,-122.38991042021931,37.7842251157369
06075015201,-122.42697593543029,37.78833230918282
06075012203,-122.417174080636,37.78574095517935
06075015801,-122.43735294834292,37.781293488104254
06075017801,-122.40115848753808,37.78202853948669
06075017700,-122.41247333407708,37.76803540188382
06075017101,-122.44614388719889,37.76577119453564
06075047903,-122.50374039903376,37.77542097385874
06075010101,-122.41160615247458,37.80667544368499
06075013401,-122.4383321535213,37.790159747978045
06075061102,-122.40736583951045,37.7954830575813
06075010600,-122.40638744451066,37.79937356823259
06075025401,-122.42097023927194,37.73774577995685
06075011200,-122.41273186316866,37.79297117204413
06075021100,-122.42981542570391,37.75397075500246
06075023102,-122.38457655322536,37.73453468950783
